"u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8532.4,1,90.5,90.5,10,0
8534.6,1,90.6,90.6,10,0
8536.7,1,90.7,90.7,10,0
8538.9,1,90.8,90.8,10,0
8541,1,90.9,90.9,10,0
8543.1,1,91,91,10,0
8544.9,1,91.1,91.1,10,0
8546.7,1,91.2,91.2,10,0
8548.5,1,91.3,91.3,10,0
8550.3,1,91.4,91.4,10,0
8552.1,1,91.5,91.5,10,0
8553.7,1,91.6,91.6,10,0
8555.3,1,91.7,91.7,10,0
8556.9,1,91.8,91.8,10,0
8558.5,1,91.9,91.9,10,0
8560.1,1,92,92,10,0
8561.7,1,92.1,92.1,10,0
8563.2,1,92.2,92.2,10,0
8564.7,1,92.3,92.3,10,0
8566.3,1,92.4,92.4,10,0
8567.8,1,92.5,92.5,10,0
8569.3,1,92.6,92.6,10,0
8570.7,1,92.7,92.7,10,0
8572.1,1,92.8,92.8,10,0
8573.6,1,92.9,92.9,10,0
8575,1,93,93,10,0
8576.1,1,93.1,93.1,10,0
8577.3,1,93.2,93.2,10,0
8578.4,1,93.3,93.3,10,0
8579.6,1,93.4,93.4,10,0
8580.7,1,93.5,93.5,10,0
8581.3,1,93.6,93.6,10,0
8581.8,1,93.7,93.7,10,0
8582.4,1,93.8,93.8,10,0
8583,1,93.9,93.9,10,0
8583.6,1,94,94,10,0
8583.4,1,94.1,94.1,10,0
8583.2,1,94.2,94.2,10,0
8583,1,94.3,94.3,10,0
8582.9,1,94.4,94.4,10,0
8582.7,1,94.5,94.5,10,0
8582.6,1,94.6,94.6,10,0
8582.4,1,94.7,94.7,10,0
8582.3,1,94.8,94.8,10,0
8582.2,1,94.9,94.9,10,0
8582,1,95,95,10,0
8582.1,1,95.1,95.1,10,0
8582.1,1,95.2,95.2,10,0
8582.1,1,95.3,95.3,10,0
8582.2,1,95.4,95.4,10,0
8582.2,1,95.5,95.5,10,0
8581.8,1,95.6,95.6,10,0
8581.4,1,95.7,95.7,10,0
8581,1,95.8,95.8,10,0
8580.6,1,95.9,95.9,10,0
8580.2,1,96,96,10,0
8579.4,1,96.1,96.1,10,0
8578.5,1,96.2,96.2,10,0
8577.6,1,96.3,96.3,10,0
8576.8,1,96.4,96.4,10,0
8575.9,1,96.5,96.5,10,0
8575.1,1,96.6,96.6,10,0
8574.3,1,96.7,96.7,10,0
8573.5,1,96.8,96.8,10,0
8572.6,1,96.9,96.9,10,0
8571.8,1,97,97,10,0
8571,1,97.1,97.1,10,0
8570.1,1,97.2,97.2,10,0
8569.3,1,97.3,97.3,10,0
8568.4,1,97.4,97.4,10,0
8567.6,1,97.5,97.5,10,0
8565.8,1,97.6,97.6,10,0
8564,1,97.7,97.7,10,0
8562.2,1,97.8,97.8,10,0
8560.4,1,97.9,97.9,10,0
8558.5,1,98,98,10,0
8555.9,1,98.1,98.1,10,0
8553.3,1,98.2,98.2,10,0
8550.8,1,98.3,98.3,10,0
8548.2,1,98.4,98.4,10,0
8545.6,1,98.5,98.5,10,0
8543.4,1,98.6,98.6,10,0
8541.2,1,98.7,98.7,10,0
8539.1,1,98.8,98.8,10,0
8536.9,1,98.9,98.9,10,0
8534.7,1,99,99,10,0
8533.2,1,99.1,99.1,10,0
8531.6,1,99.2,99.2,10,0
8530.1,1,99.3,99.3,10,0
8528.5,1,99.4,99.4,10,0
8527,1,99.5,99.5,10,0
8526.4,1,99.6,99.6,10,0
8525.8,1,99.7,99.7,10,0
8525.3,1,99.8,99.8,10,0
8524.7,1,99.9,99.9,10,0
8524.1,1,100,100,10,0
